               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11257,            0.052096,            0.069958,                   0,                   0,                   0,                   0,             0.12941,            0.049609,            0.082314,               1e-05,               1e-05,             0.09991
                   1,             0.13175,            0.053162,            0.079774,                   0,                   0,                   0,                   0,               0.129,            0.047996,            0.082196,          2.9999e-05,          2.9999e-05,             0.09973
                   2,             0.13045,            0.051481,            0.082871,                   0,                   0,                   0,                   0,             0.12843,            0.045887,            0.082017,          4.9995e-05,          4.9995e-05,             0.09955
                   3,             0.12585,            0.048049,            0.083341,                   0,                   0,                   0,                   0,              0.1277,            0.044032,            0.081712,          6.9984e-05,          6.9984e-05,             0.09937
                   4,             0.13062,            0.046542,            0.079524,                   0,                   0,                   0,                   0,             0.12723,            0.042044,             0.08128,          8.9964e-05,          8.9964e-05,             0.09919
                   5,             0.13305,            0.042537,            0.081628,                   0,                   0,                   0,                   0,             0.12662,            0.040459,            0.080962,          0.00010993,          0.00010993,             0.09901
                   6,             0.13147,            0.039856,            0.082519,                   0,                   0,                   0,                   0,             0.12604,            0.038811,            0.080615,          0.00012988,          0.00012988,             0.09883
                   7,             0.13164,            0.036477,            0.081715,                   0,                   0,                   0,                   0,             0.12543,            0.037588,            0.080092,          0.00014982,          0.00014982,             0.09865
                   8,             0.13085,            0.035533,            0.077235,                   0,                   0,                   0,                   0,             0.12475,             0.03632,            0.079559,          0.00016973,          0.00016973,             0.09847
                   9,             0.12566,            0.035456,            0.078768,                   0,                   0,                   0,                   0,              0.1241,            0.035311,            0.078902,          0.00018962,          0.00018962,             0.09829
                  10,             0.13033,            0.032446,            0.077262,                   0,                   0,                   0,                   0,             0.12344,            0.034355,            0.078122,          0.00020948,          0.00020948,            0.098109
                  11,              0.1326,             0.03185,            0.079141,                   0,                   0,                   0,                   0,             0.12309,            0.033521,            0.077646,          0.00022931,          0.00022931,            0.097929
                  12,             0.12892,            0.034073,            0.078771,                   0,                   0,                   0,                   0,             0.12278,            0.032592,            0.077215,          0.00024911,          0.00024911,            0.097749
                  13,             0.12941,            0.031222,            0.080208,                   0,                   0,                   0,                   0,             0.12241,            0.031884,            0.076756,          0.00026888,          0.00026888,            0.097569
                  14,             0.12766,             0.03532,            0.079493,                   0,                   0,                   0,                   0,             0.12193,            0.031372,            0.076199,           0.0002886,           0.0002886,            0.097389
                  15,              0.1243,            0.031347,            0.076601,                   0,                   0,                   0,                   0,             0.12129,            0.030968,            0.075664,          0.00030828,          0.00030828,            0.097208
                  16,             0.12467,            0.031268,            0.076007,                   0,                   0,                   0,                   0,             0.12096,            0.030556,            0.075068,          0.00032792,          0.00032792,            0.097028
                  17,             0.12498,             0.03162,            0.077305,                   0,                   0,                   0,                   0,             0.12071,            0.030148,             0.07462,          0.00034751,          0.00034751,            0.096848
                  18,             0.12484,            0.031041,            0.077139,                   0,                   0,                   0,                   0,             0.11993,             0.02989,            0.074151,          0.00036705,          0.00036705,            0.096667
                  19,             0.12359,            0.027565,            0.076065,                   0,                   0,                   0,                   0,             0.11959,            0.029504,            0.073822,          0.00038654,          0.00038654,            0.096487
                  20,             0.12306,            0.032024,            0.074005,                   0,                   0,                   0,                   0,             0.11922,            0.029183,            0.073399,          0.00040597,          0.00040597,            0.096306
                  21,             0.12038,            0.028574,            0.076167,                   0,                   0,                   0,                   0,              0.1189,            0.028917,             0.07306,          0.00042534,          0.00042534,            0.096125
                  22,             0.12214,            0.029668,            0.075609,                   0,                   0,                   0,                   0,              0.1183,            0.028803,            0.072646,          0.00044465,          0.00044465,            0.095945
                  23,             0.11859,            0.026255,             0.07242,                   0,                   0,                   0,                   0,             0.11774,            0.028752,            0.072314,          0.00046389,          0.00046389,            0.095764
